Subaru,Parkway Volvo Subaru Hyundai...,bgreene@parkwayofwilmington.com,jrace@parkwayofwilmington.com,(910) 392-4888,5920 Market St Suite A,Wilmington,NC,28405
Subaru,National Volkswagen Subaru,ryan@nationalvw.com,ChrisZinicola@NationalAutomotiveGroup.cmdlr.com,(888) 905-2082,2406 N Marine Blvd,Jacksonville,NC,28546
Subaru,Riverside Subaru,bill@riversidevehicles.com,alanwalsh@riversideautomotivesales.com,"(252) 633-4411","1603 US Hwy 70 E",New Bern,NC,28560
Subaru,Hadwin-White Subaru,jbogart@hadwin-white.com,none,(888) 473-0416,2325 US-501,Conway,SC,29526
Subaru,Cross Creek Subaru,swoodham@crosscreekcars.com,bcook@crosscreekcars.com,(910) 864-5240,497 N McPherson Church Rd,Fayetteville,NC,28303
Subaru,Capital Subaru of Greenville,mdecarlo@capitalofgreenville.com,jsipler@capitalofgreenville.com,(252) 317-3400,3999 S Memorial Drive,Winterville,NC,28590
Subaru,Southern States Subaru,southernstatesinternet@gmail.com,none,(919) 839-7481,2511 Wake Forest Rd,Raleigh,NC,27609
Subaru,Johnson Subaru of Cary,bthomas@johnsonsubaruofcary.com,cahart@johnsonsubaruofcary.com,(919) 447-4400,5000 Old Raleigh Rd,Cary,NC,27511
Subaru,Performance Subaru,Anna.Latta@HendrickAuto.com,brad.woolley@hendrickauto.com,(919) 942-3191,1810 N Fordham Blvd,Chapel Hill,NC,27514
Subaru,Strider Subaru,curtis@striderautosales.com,none,(336) 625-6177,1011 E Dixie Dr,Asheboro,NC,27203
Subaru,Flow Subaru,jsteuhrenberg@flowauto.com,mcollins@flowauto.com,(336) 290-7878,660 Huffman Mill Rd ,Burlington,NC,27215
Subaru,Capital Subaru of Greensboro,rprom@capitalofgreensboro.com,twhiting@capitalofgreensboro.com,(336) 275-9761,801 East Bessemer Avenue,Greensboro,NC,27405
Subaru,Flow Subaru,Lpotts@flowauto.com,bgbrown@flowauto.com,(336) 723-3524,425 Silas Crk Pky,Winston Salem,NC,27127
Subaru,Collins Subaru,none,none,(336) 789-9011,2300 Rockford St,Mount Airy,NC,27030
Subaru,Randy Marion Subaru,kbowers@randymarion.com,tgashaw@randymarion.com,(704) 663-4994,301 West Plaza Drive,Mooresville,NC,28117
Subaru,Subaru Concord,tstuver@subaruconcord.com,none,(704) 782-1227,853 Concord Pkwy S,Concord,NC,28027
Subaru,Williams Subaru,jim@williamssubarucharlotte.com,jordan@williamssubarucharlotte.com,(704) 536-9635,5701 E Independence Blvd,Charlotte,NC,28212
Subaru,Subaru South Blvd,mbengtson@subarusouthblvd.com,jnewton@subarusouthblvd.com,(704) 556-5450,9201 South Blvd,Charlotte,NC,28273
Subaru,Tindol Subaru,david.montgomery@tindolsubaru.com,kalib.smith@tindolsubaru.com,(704) 884-0001,1901 E Franklin Blvd,Gastonia,NC,28054
Subaru,Jim Armstrong Subaru,none,none,(828) 322-9372,2321 Highway 70 SW,Hickory,NC,28602
Subaru,Modern Subaru of Boone,none,none,(828) 264-0675,185 Modern Drive,Boone,NC,28607
Subaru,Mike Brown Subaru,laurenhowell@mikebrownford-subaru.com,cynthia@mikebrownford-subaru.com,(828) 765-1200,10992 South 226 Hwy,Spruce Pine,NC,28777
Subaru,Hunter Subaru,laura.lewis@huntersubaru.com,samuel.king@hunterautogroup.com,(828) 693-8661,2520 Asheville Hwy,Hendersonville,NC,28791
Subaru,Prestige Subaru,dhensley@prestigesubaru.com,dmacrae@prestigesubaru.com,(828) 298-9600,585 Tunnel Rd,Asheville,NC,28805
